nb_www,phish_hints,nb_hyperlinks,length_words_raw,domain_in_title,ratio_intHyperlinks,ratio_extHyperlinks,domain_age,web_traffic,page_rank,url_len,hostname_len,space_count,digit_ratio_url,status
0,4,6,8,1,0.333333333,0.666666667,4609,0,3,76,17,0,0.0,1
0,0,0,4,1,0.0,0.0,2102,0,0,38,12,0,0.11764705882352941,1
0,3,185,10,1,0.054054054,0.945945946,495,0,2,83,20,0,0.012195121951219513,1
1,0,273,5,0,0.970695971,0.029304029,-1,20272,6,49,15,0,0.0,0
1,0,0,3,1,0.0,0.0,5321,0,2,32,20,0,0.0,1
0,2,18,15,1,0.944444444,0.055555556,4478,188429,2,131,58,0,0.1592920353982301,1
1,0,8,3,1,0.375,0.625,212,0,0,35,20,0,0.0,1
0,0,29,1,0,1.0,0.0,-1,2619360,4,17,8,0,0.0,1
1,0,134,7,0,0.873134328,0.126865672,-1,13622,5,64,14,0,0.0,0
1,0,23,2,1,0.130434783,0.869565217,8718,0,3,29,20,0,0.0,0
0,0,575,5,0,0.977391304,0.022608696,7133,12,7,44,16,0,0.0,0
0,0,18,6,1,0.555555556,0.444444444,5614,0,5,47,38,0,0.14634146341463414,1
1,0,9,2,1,0.0,1.0,246,0,0,31,24,0,0.0,1
1,0,96,8,1,0.9375,0.0625,4490,2900,5,59,18,0,0.0,0
0,0,103,2,1,0.932038835,0.067961165,7055,2779826,0,29,22,0,0.0,1
0,0,26,1,1,0.692307692,0.307692308,2704,2715729,5,23,14,0,0.0,0
0,0,47,2,1,0.978723404,0.021276596,5230,0,7,28,19,0,0.0,0
1,0,33,5,1,0.636363636,0.363636364,8981,56631,3,43,20,0,0.04878048780487805,0
0,0,65,7,0,0.707692308,0.292307692,11046,545,6,76,23,0,0.07042253521126761,0
0,0,27,1,1,1.0,0.0,5,0,0,20,12,0,0.0,1
0,0,4,2,1,1.0,0.0,5159,0,8,28,19,0,0.0,1
1,0,24,2,0,0.708333333,0.291666667,961,2490986,2,25,17,0,0.0,0
1,0,211,2,0,0.710900474,0.289099526,7969,15330,5,21,12,0,0.0,0
0,1,0,4,1,0.0,0.0,5055,0,0,47,14,0,0.0,1
0,0,30,4,1,0.966666667,0.033333333,5767,0,2,77,23,0,0.4,1
0,0,109,1,1,0.871559633,0.128440367,7423,0,2,19,12,0,0.0,0
1,0,254,7,0,0.952755906,0.047244094,6298,5126,6,52,16,0,0.08333333333333333,0
0,0,14,2,1,0.071428571,0.928571429,7295,0,5,26,19,0,0.0,1
0,0,81,10,1,0.703703704,0.296296296,1301,0,0,93,13,0,0.010869565217391304,1
1,0,106,2,0,0.886792453,0.113207547,8702,128384,4,29,20,0,0.0,0
0,1,6,2,1,1.0,0.0,6362,10517682,0,35,20,0,0.0,1
0,0,247,8,0,0.975708502,0.024291498,7130,12,7,66,16,0,0.0,0
0,0,25,3,1,0.52,0.48,7489,63,10,33,11,0,0.0,0
0,3,185,11,1,0.054054054,0.945945946,495,0,2,111,20,0,0.12121212121212122,1
1,0,25,2,1,0.96,0.04,1041,71037,2,31,22,0,0.0,0
0,0,0,8,1,0.0,0.0,3378,3100263,4,254,29,0,0.22115384615384615,1
0,0,38,12,0,0.842105263,0.157894737,7590,635,5,72,24,0,0.043478260869565216,0
0,0,105,1,0,0.80952381,0.19047619,-1,1111694,2,18,11,0,0.0,0
1,0,219,2,1,0.98630137,0.01369863,3144,28224,3,33,25,0,0.0,0
0,0,51,13,1,1.0,0.0,3993,5707171,0,126,50,0,0.14545454545454545,1
1,1,0,5,1,0.0,0.0,5088,0,0,40,18,0,0.0,1
0,1,59,2,1,0.796610169,0.203389831,60,0,0,29,15,0,0.0,1
1,0,16,8,1,0.5625,0.4375,6995,102767,4,64,19,0,0.0,0
0,0,601,7,0,0.888519135,0.111480865,7130,12,7,53,16,0,0.0392156862745098,0
1,0,0,12,1,0.0,0.0,8583,274168,4,80,16,0,0.012658227848101266,0
0,0,13,8,1,0.846153846,0.153846154,-1,0,0,22,14,0,1.0,1
1,0,0,2,0,0.0,0.0,-1,0,5,25,17,0,0.0,0
0,0,7,14,1,0.857142857,0.142857143,84,0,0,106,29,0,0.7096774193548387,1
1,0,182,4,1,0.626373626,0.373626374,6901,11507,5,39,21,0,0.14705882352941177,0
1,0,328,3,1,0.93902439,0.06097561,6257,689,6,56,25,0,0.0,0
1,1,0,7,1,0.0,0.0,3339,7115751,2,65,17,0,0.031746031746031744,1
1,3,26,12,1,1.0,0.0,-1,0,2,89,23,0,0.12658227848101267,1
0,2,0,14,1,0.0,0.0,23,0,0,163,15,0,0.13986013986013987,1
0,1,0,6,1,0.0,0.0,553,0,0,52,19,0,0.0,1
0,0,0,5,1,0.0,0.0,33,0,0,39,22,0,0.11428571428571428,1
0,0,9,8,1,0.0,1.0,7765,32,5,132,16,0,0.03125,1
1,0,0,7,1,0.0,0.0,6391,0,2,63,22,0,0.0,1
1,0,11,4,1,0.636363636,0.363636364,-1,0,1,28,15,0,0.0,1
1,0,12,6,1,0.0,1.0,6544,0,2,43,18,0,0.0,1
0,0,0,3,1,0.0,0.0,4537,0,1,42,21,0,0.0,1
0,1,24,5,1,0.875,0.125,-1,0,0,34,23,0,0.0625,1
1,1,58,7,1,0.965517241,0.034482759,1144,0,0,51,15,0,0.0,1
0,0,275,4,1,0.981818182,0.018181818,5844,6767,5,42,19,0,0.024390243902439025,0
0,1,5,2,1,0.4,0.6,-1,0,0,26,11,0,0.08333333333333333,1
0,0,1,11,0,0.0,1.0,8346,1,10,88,24,0,0.0,1
1,0,144,7,0,0.895833333,0.104166667,7478,629,7,64,14,0,0.2549019607843137,0
0,0,216,3,0,0.967592593,0.032407407,6633,40939,4,41,14,0,0.0,0
1,1,1,14,1,1.0,0.0,5963,0,0,156,15,0,0.17293233082706766,1
1,0,79,4,1,0.265822785,0.734177215,-1,1368106,4,47,20,0,0.0,0
0,1,13,5,1,0.307692308,0.692307692,-1,10288277,0,39,12,0,0.02631578947368421,1
1,0,0,2,1,0.0,0.0,-1,1505026,2,27,18,0,0.0,0
1,0,25,2,0,0.72,0.28,-1,936822,3,29,21,0,0.0,0
0,0,136,3,1,0.963235294,0.036764706,5411,6098,5,40,14,0,0.0,0
0,0,6,9,1,1.0,0.0,4225,11753,3,113,24,0,0.18947368421052632,1
0,0,45,2,1,1.0,0.0,1658,0,0,19,11,0,0.26666666666666666,1
0,1,25,10,1,0.44,0.56,8347,1,10,113,15,0,0.0761904761904762,1
1,0,754,2,0,0.957559682,0.042440318,6112,157596,5,27,18,0,0.0,0
1,0,1187,2,1,0.98062342,0.01937658,2475,3234267,3,23,15,0,0.0,0
1,0,24,7,1,1.0,0.0,7402,2085,6,61,18,0,0.0,0
1,0,0,10,1,0.0,0.0,-1,0,0,76,14,0,0.02702702702702703,1
1,0,172,2,1,0.959302326,0.040697674,8854,330836,4,21,12,0,0.0,0
1,0,53,3,1,0.622641509,0.377358491,5394,365936,5,34,25,0,0.0,0
1,0,0,5,1,0.0,0.0,230,0,0,40,18,0,0.05263157894736842,1
1,3,8,7,0,1.0,0.0,1971,0,0,56,16,0,0.0,1
1,0,18,6,1,0.555555556,0.444444444,2578,193361,3,47,17,0,0.0,0
0,0,41,7,1,0.780487805,0.219512195,6028,0,1,72,25,0,0.02857142857142857,1
0,0,11,7,1,0.909090909,0.090909091,8195,8063233,4,59,31,0,0.0,1
0,2,3,4,1,1.0,0.0,2694,2182328,4,527,17,0,0.09109730848861283,1
0,0,36,3,1,0.75,0.25,7620,56198,6,33,26,0,0.0,1
1,0,0,6,1,0.0,0.0,6425,1883099,5,75,22,0,0.0,0
